trip_id,user_id,budget,days,preferences
1,91,338,1,"Beach, Relaxation"
2,1,1103,6,"Beach, Relaxation"
3,81,1639,2,"Luxury, Resort"
4,79,1968,9,"Culture, Food"
5,77,499,9,"Culture, Food"
6,83,1440,8,"Luxury, Resort"
7,75,1161,3,"Luxury, Resort"
8,20,1418,2,"Beach, Relaxation"
9,94,777,4,"Beach, Relaxation"
10,75,967,6,"Adventure, Water Sports"
11,8,637,2,"Adventure, Water Sports"
12,4,1994,10,"Adventure, Water Sports"
13,86,1039,3,"Culture, Food"
14,59,1685,8,"Culture, Food"
15,70,952,8,"Culture, Food"
16,43,1340,3,"Beach, Relaxation"
17,58,1703,6,"Luxury, Resort"
18,46,1857,9,"Adventure, Water Sports"
19,42,371,5,"Culture, Food"
20,8,885,4,"Budget, Backpacking"
21,47,1889,10,"Beach, Relaxation"
22,64,1050,3,"Beach, Relaxation"
23,51,329,1,"Beach, Relaxation"
24,60,1868,3,"Budget, Backpacking"
25,42,1552,10,"Adventure, Water Sports"
26,49,827,2,"Adventure, Water Sports"
27,23,1935,3,"Budget, Backpacking"
28,9,1601,5,"Budget, Backpacking"
29,94,1159,6,"Adventure, Water Sports"
30,71,1692,1,"Beach, Relaxation"
31,84,1637,1,"Culture, Food"
32,49,1162,8,"Adventure, Water Sports"
33,63,438,1,"Adventure, Water Sports"
34,46,1017,2,"Luxury, Resort"
35,87,1682,1,"Budget, Backpacking"
36,31,1545,10,"Beach, Relaxation"
37,39,520,6,"Luxury, Resort"
38,84,1483,10,"Adventure, Water Sports"
39,23,1387,9,"Beach, Relaxation"
40,32,613,6,"Culture, Food"
41,54,1155,7,"Adventure, Water Sports"
42,18,1063,7,"Culture, Food"
43,18,1030,7,"Budget, Backpacking"
44,46,1012,7,"Beach, Relaxation"
45,31,1964,3,"Luxury, Resort"
46,36,1099,7,"Adventure, Water Sports"
47,14,550,5,"Beach, Relaxation"
48,25,1667,6,"Adventure, Water Sports"
49,33,635,9,"Adventure, Water Sports"
50,57,665,10,"Luxury, Resort"
51,81,1972,6,"Beach, Relaxation"
52,68,355,10,"Luxury, Resort"
53,27,817,1,"Beach, Relaxation"
54,78,706,5,"Adventure, Water Sports"
55,13,835,6,"Luxury, Resort"
56,46,1863,3,"Luxury, Resort"
57,37,841,8,"Adventure, Water Sports"
58,93,898,3,"Culture, Food"
59,80,1271,2,"Adventure, Water Sports"
60,51,823,5,"Beach, Relaxation"
61,80,1506,2,"Culture, Food"
62,54,445,8,"Luxury, Resort"
63,50,623,7,"Budget, Backpacking"
64,63,780,3,"Culture, Food"
65,37,932,4,"Culture, Food"
66,92,440,4,"Beach, Relaxation"
67,88,1549,5,"Culture, Food"
68,88,1868,4,"Culture, Food"
69,30,1623,10,"Budget, Backpacking"
70,42,1886,2,"Culture, Food"
71,4,1186,3,"Culture, Food"
72,44,1473,5,"Beach, Relaxation"
73,85,926,1,"Beach, Relaxation"
74,96,1306,4,"Budget, Backpacking"
75,66,1904,4,"Budget, Backpacking"
76,47,1162,5,"Adventure, Water Sports"
77,93,889,7,"Luxury, Resort"
78,14,1234,8,"Beach, Relaxation"
79,39,1402,7,"Beach, Relaxation"
80,49,407,6,"Culture, Food"
81,82,750,1,"Culture, Food"
82,16,1609,5,"Luxury, Resort"
83,33,1718,1,"Culture, Food"
84,65,377,10,"Adventure, Water Sports"
85,36,306,6,"Luxury, Resort"
86,93,853,6,"Adventure, Water Sports"
87,31,1080,3,"Luxury, Resort"
88,75,711,5,"Adventure, Water Sports"
89,20,353,10,"Luxury, Resort"
90,73,656,1,"Culture, Food"
91,31,1879,4,"Beach, Relaxation"
92,11,1102,6,"Budget, Backpacking"
93,52,1136,4,"Beach, Relaxation"
94,3,888,10,"Beach, Relaxation"
95,51,705,1,"Adventure, Water Sports"
96,23,1403,2,"Culture, Food"
97,8,527,8,"Adventure, Water Sports"
98,22,1671,4,"Budget, Backpacking"
99,30,524,1,"Luxury, Resort"
100,87,1527,5,"Adventure, Water Sports"
